domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Clavibacter;142;728;204;329;593;612
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;3;16;8;4;20;22
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;1119;9102;1007;8161;5340;3321
Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;unclassified (derived from Onygenales);Coccidioides;12;47;12;13;10;28
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Phycodnaviridae;Coccolithovirus;0;1;0;0;0;0
Eukaryota;Chordata;Mammalia;Perissodactyla;Rhinocerotidae;Coelodonta;0;1;0;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Gentianales;Rubiaceae;Coffea;1;6;4;2;0;1
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Coix;0;0;1;0;0;3
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;0;0;1;0;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Collinsella;47;276;12;244;826;133
Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Colobus;0;1;0;0;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;12;35;38;27;8;22
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;36;157;144;195;342;39
Bacteria;Actinobacteria;Actinobacteria (class);Solirubrobacterales;Conexibacteraceae;Conexibacter;14;56;74;63;120;36
Bacteria;Proteobacteria;Gammaproteobacteria;unclassified (derived from Gammaproteobacteria);unclassified (derived from Gammaproteobacteria);Congregibacter;6;32;66;41;17;7
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Coprinopsis;13;129;15;55;24;73
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;589;835;206;377;611;678
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;61;1060;28;1250;298;109
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermodesulfobiaceae;Coprothermobacter;2;13;0;6;3;4
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita;4;9;7;12;5;7
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;0;0;0;2;0;1
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Corynebacteriaceae;Corynebacterium;46973;71132;9647;18175;116465;60919
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Cucurbitales;Corynocarpaceae;Corynocarpus;0;1;1;4;0;3
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Coturnix;0;8;0;1;1;6
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;2;25;26;21;7;9
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Croceibacter;14;96;11;80;28;37
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Crocosphaera;3;11;3;7;8;9
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter;58;329;80;83;164;1017
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Crucihimalaya;271;6;0;2;0;2
Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Cryptobacterium;4;98;9;54;73;63
Eukaryota;Streptophyta;Coniferopsida;Coniferales;Cupressaceae;Cryptomeria;0;0;0;2;0;0
Eukaryota;Apicomplexa;Coccidia;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;1;32;3;5;9;10
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Cucurbitales;Cucurbitaceae;Cucumis;1;0;3;1;0;2
Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Culex;2;174;23;5;7;1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;119;1647;1020;1011;632;1105
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Geminiviridae;Curtovirus;0;1;0;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Solanales;Convolvulaceae;Cuscuta;8;1;3;2;0;1
Eukaryota;unclassified (derived from Eukaryota);Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidioschyzon;0;1;0;0;1;5
